About,关于,
Category,类别,
City,城市,
Company,公司,
Company Details,公司信息,
Company Name,公司名,
Create,创建,
Customer,客户,
Date,日期,
Error,错误,
Frappe Support,Frappe支持,
From,从,
From Date,开始日期,
Grand Total,总计,
Invoice Number,发票号码,
Keyboard Shortcuts,键盘快捷键,
Language,语言,
Message,信息,
Next,下一个,
Not Found,未找到,
Please select a company first.,请先选择公司,
Posting Date,记账日期,
Previous,上一个,
Print Format,打印格式,
Production,生产,
Sales Invoice,销售发票,
Select,单选,
Select Company,选择公司,
Start,开始,
Status,状态,
Submit,提交,
System Health,系统健康状态,
System Manager,系统管理员,
Time,时间,
Title,标题,
To,收件人,
To Date,结束日期,
Total,总计,
UUID,通用唯一标识符,
ZIP Code,邮编,
